Date,High,Low,Open,Close,Volume,Adj Close
2019-07-04,8556.099609375,8420.0,8420.0,8537.5498046875,144946.0,8529.9765625
2019-07-05,8580.0,8411.400390625,8545.0,8435.349609375,159449.0,8427.8662109375
2019-07-08,8499.900390625,7463.0498046875,8499.900390625,7593.0498046875,826206.0,7586.3134765625
2019-07-09,7934.35009765625,7418.9501953125,7590.0,7855.39990234375,1267816.0,7848.43115234375
2019-07-10,7907.2001953125,7602.64990234375,7819.89990234375,7658.2001953125,506277.0,7651.40625
2019-07-11,7799.0,7601.0,7693.0,7645.7001953125,373119.0,7641.412109375
2019-07-12,7779.89990234375,7635.0,7690.0,7725.7001953125,350571.0,7721.3671875
2019-07-15,7780.0,7672.0,7750.7001953125,7714.4501953125,178663.0,7710.12353515625
2019-07-16,7900.0,7702.0498046875,7711.0,7881.7001953125,191188.0,7877.279296875
2019-07-17,7909.0,7820.5,7882.0,7854.5498046875,168284.0,7850.14453125
2019-07-18,7907.89990234375,7810.0,7858.7001953125,7847.64990234375,134466.0,7843.24853515625
2019-07-19,7900.0,7506.0,7900.0,7566.35009765625,406851.0,7562.1064453125
2019-07-22,7544.0,7080.7998046875,7541.0,7162.4501953125,693477.0,7158.43310546875
2019-07-23,7254.9501953125,7115.0,7164.7998046875,7170.35009765625,324922.0,7166.32861328125
2019-07-24,7223.0,6966.0498046875,7205.0,7065.2998046875,441763.0,7061.3369140625
2019-07-25,7170.0,6760.0,7069.89990234375,6782.2998046875,1095745.0,6778.49560546875
2019-07-26,7298.0,6631.7001953125,6775.0,7233.0,1282898.0,7228.943359375
2019-07-29,7283.7001953125,7090.0,7235.0,7120.85009765625,419089.0,7116.85595703125
2019-07-30,7257.75,7056.0,7150.0,7078.0498046875,342504.0,7074.080078125
2019-07-31,7123.2001953125,6895.0,7088.0,7097.85009765625,356118.0,7093.869140625
2019-08-01,7179.7998046875,6970.5498046875,7075.0,7082.0,365797.0,7078.02783203125
2019-08-02,7125.0,6902.0,6955.0,7063.7001953125,469811.0,7059.73828125
2019-08-05,7035.0,6942.0,6975.0,6986.9501953125,296069.0,6983.03125
2019-08-06,7128.0,6950.0,6950.0,7096.35009765625,349945.0,7092.3701171875
2019-08-07,7190.0,7076.4501953125,7115.0,7152.4501953125,395853.0,7148.4384765625
2019-08-08,7376.2998046875,7128.0,7200.0498046875,7290.4501953125,243718.0,7286.361328125
2019-08-09,7590.0,7325.0,7355.0,7504.0,416412.0,7499.791015625
2019-08-13,7545.0,7066.0498046875,7510.0,7089.14990234375,406528.0,7085.173828125
2019-08-14,7449.89990234375,7130.0498046875,7198.0,7415.2001953125,546578.0,7411.041015625
2019-08-16,7575.0,7283.35009765625,7391.0,7439.39990234375,459164.0,7435.22705078125
2019-08-19,7530.85009765625,7340.5498046875,7465.2998046875,7376.64990234375,300128.0,7372.5126953125
2019-08-20,7450.0,7207.0,7420.0,7236.14990234375,427881.0,7232.09130859375
2019-08-21,7334.0,7117.35009765625,7241.0,7145.85009765625,369263.0,7141.84228515625
2019-08-22,7186.25,6740.0,7164.0,6767.35009765625,710196.0,6763.55419921875
2019-08-23,6963.0,6581.0,6773.0,6884.60009765625,613954.0,6880.73876953125
2019-08-26,7223.64990234375,6909.5498046875,7149.0,7190.7998046875,547043.0,7186.7666015625
2019-08-27,7242.0,7095.0,7220.7998046875,7126.5,683327.0,7122.5029296875
2019-08-28,7140.0,6983.2998046875,7107.0,7035.9501953125,392626.0,7032.00390625
2019-08-29,7055.0,6931.2001953125,7025.0,6979.85009765625,312764.0,6975.93505859375
2019-08-30,7146.5498046875,6965.0,6997.0,7119.5498046875,472409.0,7115.556640625
2019-09-03,7093.9501953125,7000.0,7050.0,7026.2998046875,237446.0,7022.35888671875
2019-09-04,7077.0,6950.0,7030.0,7023.10009765625,303358.0,7019.1611328125
2019-09-05,7094.9501953125,6953.60009765625,7050.0,7001.0498046875,281048.0,6997.123046875
2019-09-06,7187.9501953125,7023.5,7023.5,7175.89990234375,302126.0,7171.875
2019-09-09,7357.39990234375,7137.10009765625,7160.0,7323.9501953125,397840.0,7319.84228515625
2019-09-11,7419.0,7295.0,7349.9501953125,7354.2001953125,348066.0,7350.0751953125
2019-09-12,7357.89990234375,7126.64990234375,7355.0,7291.9501953125,250803.0,7287.8603515625
2019-09-13,7399.75,7256.0,7303.9501953125,7388.75,213756.0,7384.60595703125
2019-09-16,7385.0,7252.89990234375,7314.85009765625,7280.25,251990.0,7276.16650390625
2019-09-17,7325.0,7108.2998046875,7291.0,7150.5,250105.0,7146.4892578125
2019-09-18,7348.0,7196.0,7221.0,7255.0498046875,307394.0,7250.98046875
2019-09-19,7249.0,7135.5498046875,7246.0,7188.64990234375,222370.0,7184.6181640625
2019-09-20,7800.0,7102.0,7230.0,7693.64990234375,965027.0,7689.33447265625
2019-09-23,8392.900390625,7831.0,7852.0,8297.75,806321.0,8293.095703125
2019-09-24,8374.75,8157.0498046875,8298.0,8240.7001953125,376734.0,8236.078125
2019-09-25,8374.9501953125,8160.7998046875,8221.0,8255.599609375,474853.0,8250.96875
2019-09-26,8498.7998046875,8295.0,8300.0,8464.599609375,581577.0,8459.8515625
2019-09-27,8577.0,8404.0,8480.0,8550.349609375,384278.0,8545.5537109375
2019-09-30,8668.7998046875,8410.349609375,8560.0,8513.0,462717.0,8508.2255859375
2019-10-01,8613.9501953125,8285.900390625,8571.0,8458.349609375,352809.0,8453.60546875
2019-10-03,8485.0,8320.4501953125,8433.0,8446.4501953125,207759.0,8441.712890625
2019-10-04,8541.349609375,8250.7001953125,8514.0,8300.75,271416.0,8296.0947265625
2019-10-07,8355.0,8190.0,8295.0,8220.0,276990.0,8215.3896484375
2019-10-09,8349.900390625,8176.0,8279.0,8318.25,329837.0,8313.583984375
2019-10-10,8345.0,8175.0,8280.0,8201.849609375,200005.0,8197.2490234375
2019-10-11,8328.849609375,8105.0,8224.0,8169.4501953125,270260.0,8164.8681640625
2019-10-14,8254.099609375,8052.0,8195.0,8082.25,190372.0,8077.716796875
2019-10-15,8130.0,8013.0,8130.0,8035.85009765625,217114.0,8031.3427734375
2019-10-16,8260.0,8065.0498046875,8085.5498046875,8134.2998046875,453154.0,8129.7373046875
2019-10-17,8357.400390625,8102.0,8154.0,8316.650390625,622466.0,8311.9853515625
2019-10-18,8437.599609375,8230.0,8316.0,8265.9501953125,352909.0,8261.314453125
2019-10-22,8393.0,7975.25,8300.0,8008.85009765625,503368.0,8004.35791015625
2019-10-23,8276.599609375,8021.0,8173.0,8070.9501953125,570989.0,8066.42333984375
2019-10-24,8200.0,8035.0,8129.9501953125,8091.0,336515.0,8086.4619140625
2019-10-25,8160.0,7852.0,8141.0,7972.14990234375,354844.0,7967.6787109375
2019-10-29,8174.35009765625,8013.0,8113.0,8150.89990234375,389923.0,8146.328125
2019-10-30,8199.0498046875,8061.25,8196.849609375,8082.39990234375,226406.0,8077.86669921875
2019-10-31,8241.9501953125,8100.0,8120.0,8134.35009765625,423287.0,8129.78759765625
2019-11-01,8429.0,8110.5,8168.0,8384.75,656439.0,8380.046875
2019-11-04,8750.0,8450.25,8480.0,8706.599609375,552812.0,8701.7158203125
2019-11-05,8887.75,8655.400390625,8800.0,8845.75,598420.0,8840.7890625
2019-11-06,8875.0,8721.0498046875,8800.0,8772.849609375,320303.0,8767.9287109375
2019-11-07,8859.7001953125,8762.0498046875,8798.0,8832.900390625,213383.0,8827.9462890625
2019-11-08,8950.0,8750.0,8795.0,8818.849609375,294904.0,8813.9033203125
2019-11-11,8925.0,8775.0,8799.0,8903.2998046875,174978.0,8898.3056640625
2019-11-13,9027.0,8855.5498046875,8888.0,8978.349609375,360673.0,8973.3134765625
2019-11-14,9091.0,8900.0,8979.9501953125,9061.849609375,348634.0,9056.7666015625
2019-11-15,9140.0,9033.599609375,9070.2001953125,9057.849609375,295919.0,9052.76953125
2019-11-18,9126.0,9015.4501953125,9065.5,9104.25,211760.0,9099.1435546875
2019-11-19,9189.0,9066.2998046875,9070.0,9152.7998046875,237653.0,9147.666015625
2019-11-20,9185.0,9060.0,9135.0,9079.25,243993.0,9074.1572265625
2019-11-21,9117.0,9032.0,9085.0,9055.099609375,173328.0,9050.0205078125
2019-11-22,9080.0,8981.0,9059.7998046875,9039.2998046875,155772.0,9034.2294921875
2019-11-25,9220.0,9015.2001953125,9051.0,9175.0,148437.0,9169.853515625
2019-11-26,9215.0,9089.599609375,9170.0,9121.2998046875,295094.0,9116.18359375
2019-11-27,9260.2998046875,9121.2998046875,9141.0,9228.4501953125,147351.0,9223.2744140625
2019-11-28,9284.75,9190.0498046875,9254.5,9240.099609375,164635.0,9234.9169921875
2019-11-29,9235.7998046875,9095.2998046875,9230.0,9110.25,148877.0,9105.140625
2019-12-02,9110.0,8900.0,9110.0,8948.2998046875,320750.0,8943.28125
2019-12-03,9127.2998046875,8926.5,8975.0,9089.75,180880.0,9084.6513671875
2019-12-04,9088.0,8955.0498046875,9068.900390625,9030.25,216459.0,9025.185546875
2019-12-05,9030.25,8935.0498046875,9015.0,8965.5,119246.0,8960.4716796875
2019-12-06,9035.5,8824.25,9012.0,8853.099609375,167027.0,8848.1337890625
2019-12-09,8994.75,8821.0498046875,8896.7001953125,8929.0,149833.0,8923.9921875
2019-12-10,8993.0,8879.0,8910.0,8927.2001953125,143935.0,8922.193359375
2019-12-11,9100.0,8935.0498046875,8950.0,9079.099609375,225881.0,9074.0078125
2019-12-12,9184.0,9081.2001953125,9100.0,9169.25,191985.0,9164.107421875
2019-12-13,9274.900390625,9142.150390625,9200.0,9210.2998046875,215357.0,9205.1337890625
2019-12-16,9300.0,9150.0,9250.0,9288.099609375,197075.0,9282.8896484375
2019-12-17,9389.7998046875,9261.400390625,9281.7998046875,9361.75,220998.0,9356.4990234375
2019-12-18,9421.0,9326.650390625,9365.0,9362.599609375,228424.0,9357.3486328125
2019-12-19,9358.7998046875,9256.599609375,9350.0,9270.75,135843.0,9265.5498046875
2019-12-20,9333.0,9260.0,9290.0,9280.0498046875,167670.0,9274.8447265625
2019-12-23,9370.0,9260.75,9281.75,9304.0498046875,169704.0,9298.8310546875
2019-12-24,9327.900390625,9252.2998046875,9290.0498046875,9294.849609375,100160.0,9289.63671875
2019-12-26,9392.0,9290.0,9325.0,9350.099609375,165007.0,9344.85546875
2019-12-27,9465.0,9348.0498046875,9360.0,9443.150390625,133407.0,9437.853515625
2019-12-30,9482.0,9402.5498046875,9444.0,9439.2001953125,124965.0,9433.90625
2019-12-31,9444.9501953125,9379.0,9422.400390625,9393.349609375,116732.0,9388.0810546875
2020-01-01,9432.4501953125,9351.9501953125,9420.0,9378.4501953125,63668.0,9373.1904296875
2020-01-02,9530.9501953125,9378.4501953125,9378.5,9505.599609375,157891.0,9500.2685546875
2020-01-03,9504.599609375,9324.0,9465.0,9345.849609375,182479.0,9340.607421875
2020-01-06,9339.0,9022.0,9339.0,9042.7001953125,244289.0,9037.6279296875
2020-01-07,9265.0,9065.0498046875,9125.0,9095.650390625,242676.0,9090.548828125
2020-01-08,9166.849609375,8961.599609375,8971.0,9145.5,269718.0,9140.3701171875
2020-01-09,9499.900390625,9209.0,9499.900390625,9395.25,214197.0,9389.98046875
2020-01-10,9434.849609375,9338.2998046875,9375.150390625,9372.25,139393.0,9366.9931640625
2020-01-13,9468.0,9365.0,9399.7998046875,9455.25,150713.0,9449.9462890625
2020-01-14,9579.7998046875,9405.2998046875,9446.0,9554.849609375,162899.0,9549.490234375
2020-01-15,9619.0,9501.599609375,9539.849609375,9589.150390625,137230.0,9583.7724609375
2020-01-16,9640.0,9565.0498046875,9590.0,9622.150390625,135782.0,9616.75390625
2020-01-17,9740.2998046875,9601.0,9614.0,9715.0,284129.0,9709.55078125
2020-01-20,9764.349609375,9550.0,9725.0,9572.75,184198.0,9567.380859375
2020-01-21,9625.0,9508.2001953125,9583.9501953125,9534.2998046875,174507.0,9528.9521484375
2020-01-22,9600.0,9495.0,9590.0,9547.5,139525.0,9542.14453125
2020-01-23,9596.0,9484.150390625,9547.5,9534.2001953125,181280.0,9528.8525390625
2020-01-24,9650.0,9480.099609375,9519.2001953125,9633.75,123978.0,9628.3466796875
2020-01-27,9648.900390625,9535.0,9590.0,9557.599609375,113128.0,9552.2392578125
2020-01-28,9710.0,9530.0,9557.599609375,9631.2998046875,190469.0,9625.8974609375
2020-01-29,9929.0,9649.0,9649.0,9894.25,501913.0,9888.7001953125
2020-01-30,9950.0,9603.349609375,9924.0,9639.650390625,412825.0,9634.244140625
2020-01-31,9708.0,9410.0,9708.0,9441.400390625,329541.0,9436.1044921875
2020-02-03,9235.0,8885.0,8955.0,9086.150390625,502551.0,9081.0537109375
2020-02-04,9624.900390625,9161.2998046875,9180.0,9534.900390625,463697.0,9529.552734375
2020-02-05,9684.0,9457.7001953125,9540.0,9591.400390625,324540.0,9586.0205078125
2020-02-06,9709.0,9560.0,9600.0,9619.7001953125,271343.0,9614.3046875
2020-02-07,9673.650390625,9561.0498046875,9610.0,9623.2998046875,142626.0,9617.90234375
2020-02-10,9657.9501953125,9531.0,9605.0,9627.0,143528.0,9621.6005859375
2020-02-11,9810.0,9643.5,9643.5,9731.599609375,195579.0,9726.1416015625
2020-02-12,9840.9501953125,9685.25,9738.0,9771.849609375,188528.0,9766.369140625
2020-02-13,9795.0,9689.0,9758.0,9717.2001953125,136630.0,9711.75
2020-02-14,9795.0,9653.0498046875,9735.0,9690.5,139237.0,9685.064453125
2020-02-17,9785.25,9514.5498046875,9699.7998046875,9528.849609375,175401.0,9523.5048828125
2020-02-18,9564.9501953125,9416.0,9527.0,9529.5,266384.0,9524.1552734375
2020-02-19,9780.0,9580.0,9580.0,9758.650390625,221132.0,9753.1767578125
2020-02-20,9827.5498046875,9693.75,9758.0,9709.7001953125,167020.0,9704.25390625
2020-02-24,9680.0,9448.2998046875,9680.0,9466.900390625,199329.0,9461.5908203125
2020-02-25,9550.0,9351.099609375,9500.0,9525.0,222018.0,9519.6572265625
2020-02-26,9494.900390625,9360.0,9455.0,9387.0,175517.0,9381.7353515625
2020-02-27,9494.7001953125,9266.7998046875,9385.0,9408.0,207583.0,9402.7236328125
2020-02-28,9286.5498046875,8825.0498046875,9270.5,9050.75,537852.0,9045.673828125
2020-03-02,9300.0,8808.0,9300.0,8914.5,309031.0,8909.5
2020-03-03,9116.650390625,8680.0,9000.0,8963.650390625,550729.0,8963.650390625
2020-03-04,9066.599609375,8593.25,9000.0,8799.7001953125,440251.0,8799.7001953125
2020-03-05,8970.0,8761.0498046875,8870.0,8879.900390625,319853.0,8879.900390625
2020-03-06,8625.0,8400.0,8570.0,8603.2001953125,408699.0,8603.2001953125
2020-03-09,8450.0,8160.0,8439.0,8207.099609375,370507.0,8207.099609375
2020-03-11,8397.099609375,8128.0498046875,8180.0,8254.0,372345.0,8254.0
2020-03-12,7981.9501953125,7400.0,7900.0,7438.0498046875,619194.0,7438.0498046875
2020-03-13,7883.89990234375,6524.25,6800.0,7742.0,595673.0,7742.0
2020-03-16,7566.5,7200.0,7450.0,7495.60009765625,562246.0,7495.60009765625
2020-03-17,7521.9501953125,6956.7998046875,7501.0,7017.5,447605.0,7017.5
2020-03-18,7200.0,6257.39990234375,7150.0,6310.2001953125,644460.0,6310.2001953125
2020-03-19,6205.85009765625,5442.64990234375,5865.0,5785.5,816638.0,5785.5
2020-03-20,6391.9501953125,5700.0,5725.2001953125,6233.0498046875,657468.0,6233.0498046875
2020-03-23,5890.39990234375,4449.0,5640.0,4621.0498046875,687988.0,4621.0498046875
2020-03-24,5080.0,4160.25,4900.0,4497.75,1558780.0,4497.75
